# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x5CD85EDB5110, ROLE=RESPONDER, BOOT_MS=0, FREQ=2400.0, BW=406.25, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,event,rssi_dbm,state,radio_status_code
163,194556,RANGING_REQ,-150,LISTENING,0
164,195246,RANGING_REQ,-150,LISTENING,0
165,195932,RANGING_REQ,-150,LISTENING,0
166,196618,RANGING_REQ,-150,LISTENING,0
167,197304,RANGING_REQ,-150,LISTENING,0
168,197990,RANGING_REQ,-150,LISTENING,0
169,198676,RANGING_REQ,-150,LISTENING,0
170,199362,RANGING_REQ,-150,LISTENING,0
171,200048,RANGING_REQ,-150,LISTENING,0
172,200734,RANGING_REQ,-150,LISTENING,0
173,201420,RANGING_REQ,-150,LISTENING,0
174,202111,RANGING_REQ,-150,LISTENING,0
175,202797,RANGING_REQ,-150,LISTENING,0
176,203484,RANGING_REQ,-150,LISTENING,0
177,204170,RANGING_REQ,-150,LISTENING,0
178,204856,RANGING_REQ,-150,LISTENING,0
179,205542,RANGING_REQ,-150,LISTENING,0
180,206228,RANGING_REQ,-150,LISTENING,0
181,206914,RANGING_REQ,-150,LISTENING,0
182,207600,RANGING_REQ,-150,LISTENING,0
183,208286,RANGING_REQ,-150,LISTENING,0
184,208976,RANGING_REQ,-150,LISTENING,0
185,209662,RANGING_REQ,-150,LISTENING,0
186,210348,RANGING_REQ,-150,LISTENING,0
187,211034,RANGING_REQ,-150,LISTENING,0
188,211720,RANGING_REQ,-150,LISTENING,0
189,212407,RANGING_REQ,-150,LISTENING,0
190,213093,RANGING_REQ,-150,LISTENING,0
191,213779,RANGING_REQ,-150,LISTENING,0
192,214465,RANGING_REQ,-150,LISTENING,0
193,215151,RANGING_REQ,-150,LISTENING,0
194,215841,RANGING_REQ,-150,LISTENING,0
195,216527,RANGING_REQ,-150,LISTENING,0
196,217213,RANGING_REQ,-150,LISTENING,0
197,217899,RANGING_REQ,-150,LISTENING,0
198,218585,RANGING_REQ,-150,LISTENING,0
199,219271,RANGING_REQ,-150,LISTENING,0
200,219957,RANGING_REQ,-150,LISTENING,0
201,220643,RANGING_REQ,-150,LISTENING,0
202,380043,RANGING_REQ,-150,LISTENING,0
203,380729,RANGING_REQ,-150,LISTENING,0
204,381414,RANGING_REQ,-150,LISTENING,0
205,382100,RANGING_REQ,-150,LISTENING,0
206,382786,RANGING_REQ,-150,LISTENING,0
207,383472,RANGING_REQ,-150,LISTENING,0
208,384159,RANGING_REQ,-150,LISTENING,0
209,384845,RANGING_REQ,-150,LISTENING,0
210,385531,RANGING_REQ,-150,LISTENING,0
211,386217,RANGING_REQ,-150,LISTENING,0
212,386908,RANGING_REQ,-150,LISTENING,0
213,387594,RANGING_REQ,-150,LISTENING,0
214,388280,RANGING_REQ,-150,LISTENING,0
215,388966,RANGING_REQ,-150,LISTENING,0
216,389652,RANGING_REQ,-150,LISTENING,0
217,390338,RANGING_REQ,-150,LISTENING,0
218,391024,RANGING_REQ,-150,LISTENING,0
219,391710,RANGING_REQ,-150,LISTENING,0
220,392396,RANGING_REQ,-150,LISTENING,0
221,393082,RANGING_REQ,-150,LISTENING,0
222,393773,RANGING_REQ,-150,LISTENING,0
223,394459,RANGING_REQ,-150,LISTENING,0
224,395145,RANGING_REQ,-150,LISTENING,0
225,395831,RANGING_REQ,-150,LISTENING,0
226,396516,RANGING_REQ,-150,LISTENING,0
227,397202,RANGING_REQ,-150,LISTENING,0
228,397888,RANGING_REQ,-150,LISTENING,0
229,398574,RANGING_REQ,-150,LISTENING,0
230,399260,RANGING_REQ,-150,LISTENING,0
231,399946,RANGING_REQ,-150,LISTENING,0
232,400636,RANGING_REQ,-150,LISTENING,0
233,401322,RANGING_REQ,-150,LISTENING,0
234,402008,RANGING_REQ,-150,LISTENING,0
235,402694,RANGING_REQ,-150,LISTENING,0
236,403380,RANGING_REQ,-150,LISTENING,0
237,404066,RANGING_REQ,-150,LISTENING,0
238,404752,RANGING_REQ,-150,LISTENING,0
239,405438,RANGING_REQ,-150,LISTENING,0
240,406124,RANGING_REQ,-150,LISTENING,0
241,406811,RANGING_REQ,-150,LISTENING,0
242,407502,RANGING_REQ,-150,LISTENING,0
243,408188,RANGING_REQ,-150,LISTENING,0
244,408874,RANGING_REQ,-150,LISTENING,0
245,409560,RANGING_REQ,-150,LISTENING,0
246,410246,RANGING_REQ,-150,LISTENING,0
247,410932,RANGING_REQ,-150,LISTENING,0
248,411618,RANGING_REQ,-150,LISTENING,0
249,412305,RANGING_REQ,-150,LISTENING,0
250,412990,RANGING_REQ,-150,LISTENING,0
251,413676,RANGING_REQ,-150,LISTENING,0
252,414368,RANGING_REQ,-150,LISTENING,0
253,415054,RANGING_REQ,-150,LISTENING,0
254,415740,RANGING_REQ,-150,LISTENING,0
255,416426,RANGING_REQ,-150,LISTENING,0
256,417112,RANGING_REQ,-150,LISTENING,0
257,417798,RANGING_REQ,-150,LISTENING,0
258,418484,RANGING_REQ,-150,LISTENING,0
259,419170,RANGING_REQ,-150,LISTENING,0
260,419856,RANGING_REQ,-150,LISTENING,0
261,420542,RANGING_REQ,-150,LISTENING,0
262,421233,RANGING_REQ,-150,LISTENING,0
263,421919,RANGING_REQ,-150,LISTENING,0
264,422605,RANGING_REQ,-150,LISTENING,0
265,423291,RANGING_REQ,-150,LISTENING,0
266,423977,RANGING_REQ,-150,LISTENING,0
267,424663,RANGING_REQ,-150,LISTENING,0
268,425349,RANGING_REQ,-150,LISTENING,0
269,426035,RANGING_REQ,-150,LISTENING,0
270,426721,RANGING_REQ,-150,LISTENING,0
271,427407,RANGING_REQ,-150,LISTENING,0
272,428097,RANGING_REQ,-150,LISTENING,0
273,428783,RANGING_REQ,-150,LISTENING,0
274,429469,RANGING_REQ,-150,LISTENING,0
275,430155,RANGING_REQ,-150,LISTENING,0
276,430841,RANGING_REQ,-150,LISTENING,0
277,431527,RANGING_REQ,-150,LISTENING,0
278,432213,RANGING_REQ,-150,LISTENING,0
279,432899,RANGING_REQ,-150,LISTENING,0
280,433585,RANGING_REQ,-150,LISTENING,0
281,434270,RANGING_REQ,-150,LISTENING,0
282,434961,RANGING_REQ,-150,LISTENING,0
283,435647,RANGING_REQ,-150,LISTENING,0
284,436333,RANGING_REQ,-150,LISTENING,0
285,437019,RANGING_REQ,-150,LISTENING,0
286,437705,RANGING_REQ,-150,LISTENING,0
287,438391,RANGING_REQ,-150,LISTENING,0
288,439077,RANGING_REQ,-150,LISTENING,0
289,439763,RANGING_REQ,-150,LISTENING,0
290,440449,RANGING_REQ,-150,LISTENING,0
291,441135,RANGING_REQ,-150,LISTENING,0
292,441826,RANGING_REQ,-150,LISTENING,0
293,442511,RANGING_REQ,-150,LISTENING,0
294,443197,RANGING_REQ,-150,LISTENING,0
295,443883,RANGING_REQ,-150,LISTENING,0
296,444568,RANGING_REQ,-150,LISTENING,0
297,445254,RANGING_REQ,-150,LISTENING,0
298,445940,RANGING_REQ,-150,LISTENING,0
299,446626,RANGING_REQ,-150,LISTENING,0
300,447312,RANGING_REQ,-150,LISTENING,0
301,740588,RANGING_REQ,-150,LISTENING,0
302,741274,RANGING_REQ,-150,LISTENING,0
303,741960,RANGING_REQ,-150,LISTENING,0
304,742646,RANGING_REQ,-150,LISTENING,0
305,743332,RANGING_REQ,-150,LISTENING,0
306,744018,RANGING_REQ,-150,LISTENING,0
307,744704,RANGING_REQ,-150,LISTENING,0
308,745390,RANGING_REQ,-150,LISTENING,0
309,746076,RANGING_REQ,-150,LISTENING,0
310,746762,RANGING_REQ,-150,LISTENING,0
311,747453,RANGING_REQ,-150,LISTENING,0
312,748139,RANGING_REQ,-150,LISTENING,0
313,748826,RANGING_REQ,-150,LISTENING,0
314,749512,RANGING_REQ,-150,LISTENING,0
315,750198,RANGING_REQ,-150,LISTENING,0
316,750884,RANGING_REQ,-150,LISTENING,0
317,751570,RANGING_REQ,-150,LISTENING,0
318,752256,RANGING_REQ,-150,LISTENING,0
319,752942,RANGING_REQ,-150,LISTENING,0
320,753627,RANGING_REQ,-150,LISTENING,0
321,754318,RANGING_REQ,-150,LISTENING,0
322,755004,RANGING_REQ,-150,LISTENING,0
323,755689,RANGING_REQ,-150,LISTENING,0
324,756375,RANGING_REQ,-150,LISTENING,0
325,757061,RANGING_REQ,-150,LISTENING,0
326,757747,RANGING_REQ,-150,LISTENING,0
327,758433,RANGING_REQ,-150,LISTENING,0
328,759118,RANGING_REQ,-150,LISTENING,0
329,759804,RANGING_REQ,-150,LISTENING,0
330,760490,RANGING_REQ,-150,LISTENING,0
331,761181,RANGING_REQ,-150,LISTENING,0
332,761866,RANGING_REQ,-150,LISTENING,0
333,762551,RANGING_REQ,-150,LISTENING,0
334,763237,RANGING_REQ,-150,LISTENING,0
335,763922,RANGING_REQ,-150,LISTENING,0
336,764608,RANGING_REQ,-150,LISTENING,0
337,765294,RANGING_REQ,-150,LISTENING,0
338,765980,RANGING_REQ,-150,LISTENING,0
339,766666,RANGING_REQ,-150,LISTENING,0
340,767351,RANGING_REQ,-150,LISTENING,0
341,768042,RANGING_REQ,-150,LISTENING,0
342,768728,RANGING_REQ,-150,LISTENING,0
343,769413,RANGING_REQ,-150,LISTENING,0
344,770098,RANGING_REQ,-150,LISTENING,0
345,770784,RANGING_REQ,-150,LISTENING,0
346,771469,RANGING_REQ,-150,LISTENING,0
347,772155,RANGING_REQ,-150,LISTENING,0
348,772840,RANGING_REQ,-150,LISTENING,0
349,773525,RANGING_REQ,-150,LISTENING,0
350,774211,RANGING_REQ,-150,LISTENING,0
351,774901,RANGING_REQ,-150,LISTENING,0
352,775586,RANGING_REQ,-150,LISTENING,0
353,776272,RANGING_REQ,-150,LISTENING,0
354,776957,RANGING_REQ,-150,LISTENING,0
